
file_name = data/tgt/kennedy.xls, algo_type = 0, align_type = 1, bs = 8192, align = 65536, org size = 1029744, cmp size = 456704, cmp_ratio = 0.44351, pad_size = 20227, pad_ratio = 0.04429
file_name = data/tgt/kennedy.xls, algo_type = 0, align_type = 1, bs = 8192, align = 131072, org size = 1029744, cmp size = 456704, cmp_ratio = 0.44351, pad_size = 20227, pad_ratio = 0.04429
file_name = data/tgt/kennedy.xls, algo_type = 0, align_type = 1, bs = 16384, align = 32768, org size = 1029744, cmp size = 512000, cmp_ratio = 0.49721, pad_size = 83498, pad_ratio = 0.16308
file_name = data/tgt/kennedy.xls, algo_type = 0, align_type = 1, bs = 16384, align = 65536, org size = 1029744, cmp size = 456704, cmp_ratio = 0.44351, pad_size = 28202, pad_ratio = 0.06175
file_name = data/tgt/kennedy.xls, algo_type = 0, align_type = 1, bs = 16384, align = 131072, org size = 1029744, cmp size = 456704, cmp_ratio = 0.44351, pad_size = 28202, pad_ratio = 0.06175
file_name = data/tgt/kennedy.xls, algo_type = 0, align_type = 1, bs = 32768, align = 32768, org size = 1029744, cmp size = 511488, cmp_ratio = 0.49671, pad_size = 85661, pad_ratio = 0.16747
file_name = data/tgt/kennedy.xls, algo_type = 0, align_type = 1, bs = 32768, align = 65536, org size = 1029744, cmp size = 506368, cmp_ratio = 0.49174, pad_size = 80541, pad_ratio = 0.15906
file_name = data/tgt/kennedy.xls, algo_type = 0, align_type = 1, bs = 32768, align = 131072, org size = 1029744, cmp size = 454656, cmp_ratio = 0.44152, pad_size = 28829, pad_ratio = 0.06341
file_name = data/tgt/kennedy.xls, algo_type = 1, align_type = 1, bs = 4096, align = 32768, org size = 1029744, cmp size = 259584, cmp_ratio = 0.25209, pad_size = 46982, pad_ratio = 0.18099
file_name = data/tgt/kennedy.xls, algo_type = 1, align_type = 1, bs = 4096, align = 65536, org size = 1029744, cmp size = 259584, cmp_ratio = 0.25209, pad_size = 46982, pad_ratio = 0.18099
file_name = data/tgt/kennedy.xls, algo_type = 1, align_type = 1, bs = 4096, align = 131072, org size = 1029744, cmp size = 259584, cmp_ratio = 0.25209, pad_size = 46982, pad_ratio = 0.18099
file_name = data/tgt/kennedy.xls, algo_type = 1, align_type = 1, bs = 8192, align = 32768, org size = 1029744, cmp size = 257536, cmp_ratio = 0.25010, pad_size = 55271, pad_ratio = 0.21461
file_name = data/tgt/kennedy.xls, algo_type = 1, align_type = 1, bs = 8192, align = 65536, org size = 1029744, cmp size = 257024, cmp_ratio = 0.24960, pad_size = 54759, pad_ratio = 0.21305
file_name = data/tgt/kennedy.xls, algo_type = 1, align_type = 1, bs = 8192, align = 131072, org size = 1029744, cmp size = 256000, cmp_ratio = 0.24861, pad_size = 53735, pad_ratio = 0.20990
file_name = data/tgt/kennedy.xls, algo_type = 1, align_type = 1, bs = 16384, align = 32768, org size = 1029744, cmp size = 232448, cmp_ratio = 0.22573, pad_size = 34009, pad_ratio = 0.14631
file_name = data/tgt/kennedy.xls, algo_type = 1, align_type = 1, bs = 16384, align = 65536, org size = 1029744, cmp size = 228352, cmp_ratio = 0.22176, pad_size = 29913, pad_ratio = 0.13100
file_name = data/tgt/kennedy.xls, algo_type = 1, align_type = 1, bs = 16384, align = 131072, org size = 1029744, cmp size = 225792, cmp_ratio = 0.21927, pad_size = 27353, pad_ratio = 0.12114
file_name = data/tgt/kennedy.xls, algo_type = 1, align_type = 1, bs = 32768, align = 32768, org size = 1029744, cmp size = 245760, cmp_ratio = 0.23866, pad_size = 46849, pad_ratio = 0.19063
file_name = data/tgt/kennedy.xls, algo_type = 1, align_type = 1, bs = 32768, align = 65536, org size = 1029744, cmp size = 226304, cmp_ratio = 0.21977, pad_size = 27393, pad_ratio = 0.12105
file_name = data/tgt/kennedy.xls, algo_type = 1, align_type = 1, bs = 32768, align = 131072, org size = 1029744, cmp size = 213504, cmp_ratio = 0.20734, pad_size = 14593, pad_ratio = 0.06835

file_name = data/tgt/osdb, algo_type = 0, align_type = 0, bs = 16384, align = 4096, org size = 10085684, cmp size = 7565312, cmp_ratio = 0.75010, pad_size = 643760, pad_ratio = 0.08509
file_name = data/tgt/osdb, algo_type = 1, align_type = 0, bs = 16384, align = 4096, org size = 10085684, cmp size = 7565312, cmp_ratio = 0.75010, pad_size = 1993303, pad_ratio = 0.26348
file_name = data/tgt/osdb, algo_type = 0, align_type = 1, bs = 4096, align = 32768, org size = 10085684, cmp size = 9475584, cmp_ratio = 0.93951, pad_size = 815663, pad_ratio = 0.08608
file_name = data/tgt/osdb, algo_type = 0, align_type = 1, bs = 4096, align = 65536, org size = 10085684, cmp size = 9293312, cmp_ratio = 0.92144, pad_size = 633391, pad_ratio = 0.06816
file_name = data/tgt/osdb, algo_type = 0, align_type = 1, bs = 4096, align = 131072, org size = 10085684, cmp size = 9158144, cmp_ratio = 0.90803, pad_size = 498223, pad_ratio = 0.05440
file_name = data/tgt/osdb, algo_type = 0, align_type = 1, bs = 8192, align = 32768, org size = 10085684, cmp size = 10055168, cmp_ratio = 0.99697, pad_size = 2162594, pad_ratio = 0.21507
file_name = data/tgt/osdb, algo_type = 0, align_type = 1, bs = 8192, align = 65536, org size = 10085684, cmp size = 8961024, cmp_ratio = 0.88849, pad_size = 1068450, pad_ratio = 0.11923
file_name = data/tgt/osdb, algo_type = 0, align_type = 1, bs = 8192, align = 131072, org size = 10085684, cmp size = 8489984, cmp_ratio = 0.84179, pad_size = 597410, pad_ratio = 0.07037
